validation_scheme,year,spatial_fold,budget,seed,strategy,occupied_locations,minimum_month_count,maximum_month_count,mean_abs_equal_deviation_pp,maximum_abs_equal_deviation_pp
whole_spatial_blocks,2010,4.0,5000,4,historical_spatial_month_balanced,2959,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,5,historical_spatial_month_balanced,2961,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,6,historical_spatial_month_balanced,2940,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,7,historical_spatial_month_balanced,2995,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,8,historical_spatial_month_balanced,2972,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,9,historical_spatial_month_balanced,2948,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,10,historical_spatial_month_balanced,3030,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,11,historical_spatial_month_balanced,2946,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,12,historical_spatial_month_balanced,2966,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,13,historical_spatial_month_balanced,2946,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,14,historical_spatial_month_balanced,2951,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,15,historical_spatial_month_balanced,2928,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,16,historical_spatial_month_balanced,2998,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,17,historical_spatial_month_balanced,2957,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,18,historical_spatial_month_balanced,2988,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2010,4.0,5000,19,historical_spatial_month_balanced,2977,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,0,historical_spatial_month_balanced,3104,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,1,historical_spatial_month_balanced,3080,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,2,historical_spatial_month_balanced,3063,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,3,historical_spatial_month_balanced,3052,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,4,historical_spatial_month_balanced,3113,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,5,historical_spatial_month_balanced,3115,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,6,historical_spatial_month_balanced,3090,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,7,historical_spatial_month_balanced,3111,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,8,historical_spatial_month_balanced,3059,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,9,historical_spatial_month_balanced,3130,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,10,historical_spatial_month_balanced,3090,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,11,historical_spatial_month_balanced,3090,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,12,historical_spatial_month_balanced,3129,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,13,historical_spatial_month_balanced,3073,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,14,historical_spatial_month_balanced,3122,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,15,historical_spatial_month_balanced,3050,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,16,historical_spatial_month_balanced,3083,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,17,historical_spatial_month_balanced,3087,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,18,historical_spatial_month_balanced,3101,416,417,0.0088888888888892,0.0133333333333332
month_stratified_hidden_cells,2014,,5000,19,historical_spatial_month_balanced,3084,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,0,historical_spatial_month_balanced,2825,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,1,historical_spatial_month_balanced,2883,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,2,historical_spatial_month_balanced,2833,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,3,historical_spatial_month_balanced,2832,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,4,historical_spatial_month_balanced,2828,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,5,historical_spatial_month_balanced,2869,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,6,historical_spatial_month_balanced,2809,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,7,historical_spatial_month_balanced,2827,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,8,historical_spatial_month_balanced,2817,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,9,historical_spatial_month_balanced,2852,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,10,historical_spatial_month_balanced,2865,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,11,historical_spatial_month_balanced,2821,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,12,historical_spatial_month_balanced,2878,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,13,historical_spatial_month_balanced,2871,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,14,historical_spatial_month_balanced,2853,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,15,historical_spatial_month_balanced,2863,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,16,historical_spatial_month_balanced,2919,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,17,historical_spatial_month_balanced,2816,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,18,historical_spatial_month_balanced,2884,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,0.0,5000,19,historical_spatial_month_balanced,2831,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,0,historical_spatial_month_balanced,2885,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,1,historical_spatial_month_balanced,2932,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,2,historical_spatial_month_balanced,2917,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,3,historical_spatial_month_balanced,2915,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,4,historical_spatial_month_balanced,2864,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,5,historical_spatial_month_balanced,2933,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,6,historical_spatial_month_balanced,2872,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,7,historical_spatial_month_balanced,2917,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,8,historical_spatial_month_balanced,2894,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,9,historical_spatial_month_balanced,2936,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,10,historical_spatial_month_balanced,2951,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,11,historical_spatial_month_balanced,2934,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,12,historical_spatial_month_balanced,2891,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,13,historical_spatial_month_balanced,2899,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,14,historical_spatial_month_balanced,2941,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,15,historical_spatial_month_balanced,2938,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,16,historical_spatial_month_balanced,2929,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,17,historical_spatial_month_balanced,2899,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,18,historical_spatial_month_balanced,2905,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,1.0,5000,19,historical_spatial_month_balanced,2863,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,0,historical_spatial_month_balanced,2910,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,1,historical_spatial_month_balanced,2885,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,2,historical_spatial_month_balanced,2932,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,3,historical_spatial_month_balanced,2924,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,4,historical_spatial_month_balanced,2921,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,5,historical_spatial_month_balanced,2939,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,6,historical_spatial_month_balanced,2983,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,7,historical_spatial_month_balanced,2921,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,8,historical_spatial_month_balanced,2910,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,9,historical_spatial_month_balanced,2936,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,10,historical_spatial_month_balanced,2935,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,11,historical_spatial_month_balanced,2931,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,12,historical_spatial_month_balanced,2919,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,13,historical_spatial_month_balanced,2980,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,14,historical_spatial_month_balanced,2964,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,15,historical_spatial_month_balanced,2905,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,16,historical_spatial_month_balanced,2919,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,17,historical_spatial_month_balanced,2952,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,18,historical_spatial_month_balanced,2953,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,2.0,5000,19,historical_spatial_month_balanced,2955,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,0,historical_spatial_month_balanced,2866,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,1,historical_spatial_month_balanced,2836,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,2,historical_spatial_month_balanced,2866,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,3,historical_spatial_month_balanced,2793,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,4,historical_spatial_month_balanced,2850,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,5,historical_spatial_month_balanced,2835,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,6,historical_spatial_month_balanced,2809,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,7,historical_spatial_month_balanced,2849,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,8,historical_spatial_month_balanced,2781,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,9,historical_spatial_month_balanced,2840,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,10,historical_spatial_month_balanced,2840,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,11,historical_spatial_month_balanced,2845,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,12,historical_spatial_month_balanced,2842,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,13,historical_spatial_month_balanced,2871,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,14,historical_spatial_month_balanced,2827,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,15,historical_spatial_month_balanced,2852,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,16,historical_spatial_month_balanced,2845,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,17,historical_spatial_month_balanced,2860,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,18,historical_spatial_month_balanced,2862,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,3.0,5000,19,historical_spatial_month_balanced,2831,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,0,historical_spatial_month_balanced,2971,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,1,historical_spatial_month_balanced,2986,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,2,historical_spatial_month_balanced,2990,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,3,historical_spatial_month_balanced,2967,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,4,historical_spatial_month_balanced,2959,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,5,historical_spatial_month_balanced,2961,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,6,historical_spatial_month_balanced,2940,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,7,historical_spatial_month_balanced,2995,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,8,historical_spatial_month_balanced,2972,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,9,historical_spatial_month_balanced,2948,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,10,historical_spatial_month_balanced,3030,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,11,historical_spatial_month_balanced,2946,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,12,historical_spatial_month_balanced,2966,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,13,historical_spatial_month_balanced,2946,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,14,historical_spatial_month_balanced,2951,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,15,historical_spatial_month_balanced,2928,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,16,historical_spatial_month_balanced,2998,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,17,historical_spatial_month_balanced,2957,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,18,historical_spatial_month_balanced,2988,416,417,0.0088888888888892,0.0133333333333332
whole_spatial_blocks,2014,4.0,5000,19,historical_spatial_month_balanced,2977,416,417,0.0088888888888892,0.0133333333333332
